meter_id;tariff;n_phases;ctrct_pw
meter_98;Time-Of-Use Two Periods ;T ;10.35
meter_99;Simple Tariff ;M ;3.45
meter_100;Simple Tariff ;T ;20.7
meter_101;Simple Tariff ;M ;5.75
meter_102;Simple Tariff ;T ;17.25
meter_103;Simple Tariff ;M ;13.8
meter_104;Simple Tariff ;T ;6.9
meter_105;Simple Tariff ;M ;3.45
meter_106;Simple Tariff ;M ;6.9
meter_107;Simple Tariff ;T ;3.45
meter_108;Simple Tariff ;T ;10.35
meter_109;Time-Of-Use Three Periods;M ;6.9
meter_110;Simple Tariff ;T ;13.8
meter_111;Simple Tariff ;T ;20.7
meter_112;Time-Of-Use Three Periods ;M ;6.9
meter_113;Time-Of-Use Three Periods ;T ;10.35
meter_114;Time-Of-Use Three Periods ;T ;20.7
meter_115;Simple Tariff ;T ;6.9
meter_116;Time-Of-Use Two Periods ;T ;17.25
meter_117;Time-Of-Use Two Periods ;T ;20.7
meter_118;Simple Tariff ;M ;3.45
meter_119;Simple Tariff ;M ;3.45
meter_120;Time-Of-Use Two Periods ;T ;13.8
meter_121;Simple Tariff ;M ;5.75
meter_122;Time-Of-Use Two Periods ;T ;13.8
meter_123;Simple Tariff ;T ;10.35
meter_124;Simple Tariff ;T ;17.25
meter_125;Simple Tariff ;M ;3.45
meter_126;Time-Of-Use Two Periods ;T ;13.8
meter_127;Time-Of-Use Two Periods ;M ;10.35
meter_128;Time-Of-Use Two Periods ;T ;13.8
meter_129;Time-Of-Use Two Periods;M ;3.45
meter_130;Time-Of-Use Three Periods ;M ;3.45
meter_131;Simple Tariff ;T ;20.7
meter_132;Simple Tariff ;T ;20.7
meter_133;Simple Tariff ;M ;3.45
meter_134;Simple Tariff ;T ;10.35
meter_135;Simple Tariff ;M ;6.9
meter_136;Simple Tariff ;M ;3.45
meter_137;Simple Tariff ;M ;6.9
meter_138;Simple Tariff ;M ;3.45
meter_139;Simple Tariff ;T ;13.8
meter_140;Simple Tariff ;M ;3.45
meter_141;Simple Tariff ;M ;6.9
meter_142;Simple Tariff ;T ;10.35
meter_143;Time-Of-Use Two Periods ;T ;10.35
meter_144;Simple Tariff ;M ;6.9
meter_145;Simple Tariff ;M ;6.9
meter_146;Simple Tariff ;T ;20.7
meter_147;Time-Of-Use Two Periods ;T ;13.8
meter_148;Time-Of-Use Three Periods ;M ;3.45
meter_149;Simple Tariff ;M ;3.45
meter_150;Simple Tariff ;M ;6.9
meter_151;Simple Tariff ;M ;3.45
meter_152;Simple Tariff ;M ;4.6
meter_153;Simple Tariff ;T ;13.8
meter_154;Simple Tariff ;M ;3.45
meter_155;Simple Tariff ;M ;6.9
meter_156;Time-Of-Use Three Periods ;T ;10.35
meter_157;Simple Tariff ;T ;20.7
meter_158;Simple Tariff ;M ;6.9
meter_159;Simple Tariff ;M ;13.8
meter_160;Simple Tariff ;M ;6.9
meter_161;Simple Tariff ;M ;6.9
meter_162;Simple Tariff ;M ;3.45
meter_163;Simple Tariff ;T ;6.9
meter_164;Simple Tariff ;M ;20.7
meter_165;Simple Tariff ;M ;5.75
meter_166;Simple Tariff ;T ;6.9
meter_167;Simple Tariff ;M ;3.45
meter_168;Simple Tariff ;M ;6.9
meter_169;Time-Of-Use Two Periods ;T ;10.35
meter_170;Simple Tariff ;T ;20.7
meter_171;Simple Tariff ;T ;6.9
meter_172;Simple Tariff ;M ;6.9
meter_173;Time-Of-Use Two Periods ;T ;10.35
meter_174;Time-Of-Use Two Periods ;T ;20.7
meter_175;Simple Tariff ;T ;6.9
meter_176;Simple Tariff ;T ;10.35
meter_177;Time-Of-Use Two Periods ;T ;20.7
meter_178;Simple Tariff ;M ;10.35
meter_179;Time-Of-Use Two Periods ;T ;13.8
meter_180;Time-Of-Use Two Periods ;M ;6.9
meter_181;Simple Tariff ;T ;3.45
meter_182;Time-Of-Use Three Periods ;T ;6.9
meter_183;Simple Tariff ;T ;20.7
meter_184;Simple Tariff ;T ;20.7
meter_185;Simple Tariff ;T ;6.9
meter_186;Simple Tariff ;T ;10.35
meter_187;Time-Of-Use Two Periods ;T ;13.8
meter_188;Simple Tariff ;T ;3.45
meter_189;Simple Tariff ;M ;6.9
meter_190;Simple Tariff ;T ;10.35
meter_191;Time-Of-Use Two Periods ;T ;13.8
meter_192;Simple Tariff ;M ;6.9
meter_193;Simple Tariff ;M ;6.9
meter_194;Simple Tariff ;M ;4.6
meter_195;Time-Of-Use Two Periods ;T ;17.25
meter_196;Simple Tariff ;M ;6.9
meter_197;Simple Tariff ;M ;4.6
meter_198;Time-Of-Use Two Periods ;T ;20.7
meter_199;Simple Tariff ;T ;13.8
meter_200;Time-Of-Use Three Periods ;T ;13.8
meter_201;Time-Of-Use Three Periods ;T ;3.45
meter_202;Time-Of-Use Three Periods ;T ;13.8
meter_203;Simple Tariff ;M ;3.45
meter_204;Simple Tariff ;M ;6.9
meter_205;Simple Tariff ;T ;3.45
meter_206;Simple Tariff ;M ;3.45
meter_207;Time-Of-Use Two Periods ;T ;13.8
meter_208;Simple Tariff ;T ;13.8
meter_209;Simple Tariff ;M ;6.9
meter_210;Simple Tariff ;M ;10.35
meter_211;Time-Of-Use Two Periods ;M ;3.45
meter_212;Time-Of-Use Two Periods ;T ;17.25
meter_213;Simple Tariff ;M ;3.45
meter_214;Time-Of-Use Three Periods ;M ;3.45
meter_215;Simple Tariff ;M ;3.45
meter_EDP;Time-Of-Use Two Periods;M;17.25
